Reading,Receive,Value,Unit,Data Quality
2025-08-14 01:17:16,2025-08-14 01:17:20,0.00,in,A
2025-08-13 13:17:16,2025-08-13 13:17:20,0.00,in,A
2025-08-13 01:17:16,2025-08-13 01:17:20,0.00,in,A
2025-08-12 13:17:17,2025-08-12 13:17:20,0.00,in,A
2025-08-12 01:17:16,2025-08-12 01:17:20,0.00,in,A
2025-08-11 13:17:16,2025-08-11 13:19:56,0.00,in,A
2025-08-11 01:17:16,2025-08-11 01:17:20,0.00,in,A
2025-08-10 13:17:16,2025-08-10 13:24:25,0.00,in,A
2025-08-10 01:17:16,2025-08-10 01:17:20,0.00,in,A
2025-08-09 13:17:16,2025-08-09 13:17:20,0.00,in,A
2025-08-09 01:17:16,2025-08-09 01:17:20,0.00,in,A
2025-08-08 13:17:16,2025-08-08 13:17:20,0.00,in,A
2025-08-08 01:17:16,2025-08-08 01:17:20,0.00,in,A
2025-08-07 13:17:16,2025-08-07 13:17:20,0.00,in,A
2025-08-07 01:17:16,2025-08-07 01:17:20,0.00,in,A
2025-08-06 13:17:16,2025-08-06 13:17:25,0.00,in,A
2025-08-06 01:17:16,2025-08-06 01:17:20,0.00,in,A
2025-08-05 13:17:16,2025-08-05 13:17:20,0.00,in,A
2025-08-05 01:17:16,2025-08-05 01:17:20,0.00,in,A
2025-08-04 13:17:16,2025-08-04 13:17:20,0.00,in,A
2025-08-04 01:17:16,2025-08-04 01:17:20,0.00,in,A
2025-08-03 13:17:16,2025-08-03 13:17:20,0.00,in,A
2025-08-03 01:17:16,2025-08-03 01:17:20,0.00,in,A
2025-08-02 13:17:16,2025-08-02 13:17:25,0.00,in,A
2025-08-02 01:17:16,2025-08-02 01:17:20,0.00,in,A
2025-08-01 13:17:16,2025-08-01 13:17:20,0.00,in,A
2025-08-01 01:17:16,2025-08-01 01:17:20,0.00,in,A
2025-07-31 13:17:16,2025-07-31 13:17:20,0.00,in,A
2025-07-31 01:17:16,2025-07-31 01:17:20,0.00,in,A
2025-07-30 13:17:16,2025-07-30 13:17:20,0.00,in,A
2025-07-30 01:17:17,2025-07-30 01:17:20,0.00,in,A
2025-07-29 13:17:16,2025-07-29 13:17:20,0.00,in,A
2025-07-29 01:17:16,2025-07-29 01:17:20,0.00,in,A
2025-07-28 13:17:16,2025-07-28 13:17:20,0.00,in,A
2025-07-28 01:17:16,2025-07-28 01:17:20,0.00,in,A
2025-07-27 13:17:16,2025-07-27 13:17:21,0.00,in,A
2025-07-27 01:17:16,2025-07-27 01:17:20,0.00,in,A
2025-07-26 13:17:16,2025-07-26 13:17:20,0.00,in,A
2025-07-26 01:17:16,2025-07-26 01:17:20,0.00,in,A
2025-07-25 13:17:16,2025-07-25 13:17:25,0.00,in,A
2025-07-25 01:17:16,2025-07-25 01:17:20,0.00,in,A
2025-07-24 13:17:16,2025-07-24 13:17:25,0.00,in,A
2025-07-24 01:17:16,2025-07-24 01:17:20,0.00,in,A
2025-07-23 13:17:17,2025-07-23 13:17:20,0.00,in,A
2025-07-23 01:17:16,2025-07-23 01:17:20,0.00,in,A
2025-07-22 19:56:11,2025-07-22 19:57:20,0.04,in,A
2025-07-22 13:17:16,2025-07-22 13:17:20,0.00,in,A
2025-07-22 01:17:16,2025-07-22 01:17:20,0.00,in,A
2025-07-21 13:17:16,2025-07-21 13:17:24,0.00,in,A
2025-07-21 01:17:16,2025-07-21 01:17:20,0.00,in,A
2025-07-20 13:17:16,2025-07-20 13:17:20,0.00,in,A
2025-07-20 01:17:16,2025-07-20 01:17:20,0.00,in,A
2025-07-19 13:17:16,2025-07-19 13:17:20,0.00,in,A
2025-07-19 01:17:17,2025-07-19 01:17:20,0.00,in,A
2025-07-18 13:17:16,2025-07-18 13:17:20,0.00,in,A
2025-07-18 01:17:16,2025-07-18 01:17:20,0.00,in,A
2025-07-17 13:17:16,2025-07-17 13:17:25,0.00,in,A
2025-07-17 01:17:16,2025-07-17 01:17:20,0.00,in,A
2025-07-16 14:23:11,2025-07-16 14:23:20,0.04,in,A
2025-07-16 13:17:24,2025-07-16 13:19:20,0.00,in,A
2025-07-16 01:17:16,2025-07-16 01:19:20,0.00,in,A
2025-07-15 15:16:52,2025-07-15 15:17:25,0.04,in,A
2025-07-15 13:17:16,2025-07-15 13:19:20,0.00,in,A
2025-07-15 01:17:16,2025-07-15 01:19:20,0.00,in,A
2025-07-14 13:17:17,2025-07-14 13:17:20,0.00,in,A
2025-07-14 01:17:17,2025-07-14 01:17:20,0.00,in,A
2025-07-13 13:17:16,2025-07-13 13:17:25,0.00,in,A
2025-07-13 01:15:24,2025-07-13 01:17:20,0.00,in,A
2025-07-12 13:17:16,2025-07-12 13:17:20,0.00,in,A
2025-07-12 01:17:17,2025-07-12 01:17:20,0.00,in,A
2025-07-11 13:17:16,2025-07-11 13:17:20,0.00,in,A
2025-07-11 01:17:16,2025-07-11 01:17:20,0.00,in,A
2025-07-10 13:17:16,2025-07-10 13:17:20,0.00,in,A
2025-07-10 01:17:16,2025-07-10 01:17:20,0.00,in,A
2025-07-09 13:15:16,2025-07-09 13:15:20,0.00,in,A
2025-07-09 01:15:16,2025-07-09 01:15:26,0.00,in,A
2025-07-08 13:15:16,2025-07-08 13:15:26,0.00,in,A
2025-07-08 01:15:16,2025-07-08 01:15:26,0.00,in,A
2025-07-07 13:15:16,2025-07-07 13:15:26,0.00,in,A
2025-07-07 01:15:16,2025-07-07 01:15:26,0.00,in,A
2025-07-06 13:15:16,2025-07-06 13:15:26,0.00,in,A
2025-07-06 01:15:16,2025-07-06 01:15:26,0.00,in,A
2025-07-05 13:15:16,2025-07-05 13:15:26,0.00,in,A
2025-07-05 01:15:16,2025-07-05 01:15:26,0.00,in,A
2025-07-04 13:15:16,2025-07-04 13:15:26,0.00,in,A
2025-07-04 01:15:16,2025-07-04 01:15:26,0.00,in,A
2025-07-03 13:15:16,2025-07-03 13:15:26,0.00,in,A
2025-07-03 01:15:16,2025-07-03 01:15:26,0.00,in,A
2025-07-02 13:15:16,2025-07-02 13:15:26,0.00,in,A
2025-07-02 01:15:16,2025-07-02 01:15:26,0.00,in,A
2025-07-01 13:15:16,2025-07-01 13:15:26,0.00,in,A
2025-07-01 01:15:16,2025-07-01 01:15:26,0.00,in,A
2025-06-30 13:15:16,2025-06-30 13:15:26,0.00,in,A
2025-06-30 01:15:16,2025-06-30 01:15:26,0.00,in,A
2025-06-29 13:15:16,2025-06-29 13:15:26,0.00,in,A
2025-06-29 01:15:17,2025-06-29 01:15:26,0.00,in,A
2025-06-28 13:15:16,2025-06-28 13:15:26,0.00,in,A
2025-06-28 01:15:16,2025-06-28 01:15:26,0.00,in,A
2025-06-27 13:15:16,2025-06-27 13:15:26,0.00,in,A
2025-06-27 01:15:17,2025-06-27 01:15:26,0.00,in,A
2025-06-26 13:15:16,2025-06-26 13:15:26,0.00,in,A
2025-06-26 01:15:16,2025-06-26 01:15:26,0.00,in,A
2025-06-25 13:15:16,2025-06-25 13:15:26,0.00,in,A
2025-06-25 01:15:16,2025-06-25 01:15:26,0.00,in,A
2025-06-24 13:43:12,2025-06-24 13:43:25,0.04,in,A
2025-06-24 13:41:10,2025-06-24 13:41:25,0.04,in,A
2025-06-24 13:40:34,2025-06-24 13:41:25,0.04,in,A
2025-06-24 13:39:43,2025-06-24 13:41:25,0.04,in,A
2025-06-24 13:39:16,2025-06-24 13:41:25,0.04,in,A
2025-06-24 13:37:56,2025-06-24 13:39:25,0.04,in,A
2025-06-24 13:36:59,2025-06-24 13:37:25,0.04,in,A
2025-06-24 13:34:17,2025-06-24 13:35:25,0.04,in,A
2025-06-24 13:33:30,2025-06-24 13:35:25,0.04,in,A
2025-06-24 13:32:32,2025-06-24 13:33:25,0.04,in,A
2025-06-24 13:31:46,2025-06-24 13:33:25,0.04,in,A
2025-06-24 13:30:42,2025-06-24 13:31:26,0.04,in,A
2025-06-24 13:30:09,2025-06-24 13:31:26,0.04,in,A
2025-06-24 13:15:17,2025-06-24 13:15:26,0.00,in,A
2025-06-24 01:15:16,2025-06-24 01:15:26,0.00,in,A
2025-06-23 13:15:16,2025-06-23 13:15:26,0.00,in,A
2025-06-23 01:15:16,2025-06-23 01:15:26,0.00,in,A
2025-06-22 13:15:16,2025-06-22 13:15:26,0.00,in,A
2025-06-22 01:15:17,2025-06-22 01:15:26,0.00,in,A
2025-06-21 13:15:16,2025-06-21 13:15:26,0.00,in,A
2025-06-21 01:15:16,2025-06-21 01:15:26,0.00,in,A
2025-06-20 13:15:17,2025-06-20 13:15:26,0.00,in,A
2025-06-20 01:15:16,2025-06-20 01:15:26,0.00,in,A
2025-06-19 13:15:16,2025-06-19 13:15:26,0.00,in,A
2025-06-19 01:15:16,2025-06-19 01:15:26,0.00,in,A
2025-06-18 13:15:16,2025-06-18 13:15:26,0.00,in,A
2025-06-18 01:15:17,2025-06-18 01:15:27,0.00,in,A
2025-06-17 13:15:16,2025-06-17 13:15:26,0.00,in,A
2025-06-17 01:15:16,2025-06-17 01:15:26,0.00,in,A
2025-06-16 13:15:16,2025-06-16 13:15:26,0.00,in,A
2025-06-16 01:15:16,2025-06-16 01:15:26,0.00,in,A
2025-06-15 13:15:16,2025-06-15 13:15:26,0.00,in,A
2025-06-15 01:15:16,2025-06-15 01:15:26,0.00,in,A
2025-06-14 13:15:16,2025-06-14 13:15:26,0.00,in,A
2025-06-14 01:15:16,2025-06-14 01:15:26,0.00,in,A
2025-06-13 13:15:17,2025-06-13 13:15:26,0.00,in,A
2025-06-13 01:15:16,2025-06-13 01:15:26,0.00,in,A
2025-06-12 13:15:16,2025-06-12 13:15:26,0.00,in,A
2025-06-12 01:15:16,2025-06-12 01:15:26,0.00,in,A
2025-06-11 13:15:16,2025-06-11 13:15:26,0.00,in,A
2025-06-11 01:15:17,2025-06-11 01:15:26,0.00,in,A
2025-06-10 13:15:16,2025-06-10 13:15:26,0.00,in,A
2025-06-10 01:15:16,2025-06-10 01:15:26,0.00,in,A
2025-06-09 13:15:16,2025-06-09 13:15:26,0.00,in,A
2025-06-09 01:15:16,2025-06-09 01:15:26,0.00,in,A
2025-06-08 13:15:17,2025-06-08 13:15:26,0.00,in,A
2025-06-08 01:15:16,2025-06-08 01:15:26,0.00,in,A
2025-06-07 13:15:16,2025-06-07 13:15:26,0.00,in,A
2025-06-07 01:15:16,2025-06-07 01:15:26,0.00,in,A
2025-06-06 13:15:16,2025-06-06 13:15:26,0.00,in,A
2025-06-06 01:15:17,2025-06-06 01:15:26,0.00,in,A
2025-06-05 17:09:01,2025-06-05 17:09:25,0.04,in,A
2025-06-05 13:15:16,2025-06-05 13:15:26,0.00,in,A
2025-06-05 01:15:16,2025-06-05 01:15:26,0.00,in,A
2025-06-04 13:15:16,2025-06-04 13:15:26,0.00,in,A
2025-06-04 01:15:16,2025-06-04 01:15:26,0.00,in,A
2025-06-03 22:46:54,2025-06-03 22:47:25,0.04,in,A
2025-06-03 22:30:55,2025-06-03 22:33:25,0.04,in,A
2025-06-03 22:27:04,2025-06-03 22:27:25,0.04,in,A
2025-06-03 22:12:04,2025-06-03 22:13:25,0.04,in,A
2025-06-03 21:52:57,2025-06-03 21:53:25,0.04,in,A
2025-06-03 13:15:17,2025-06-03 13:15:26,0.00,in,A
2025-06-03 07:28:24,2025-06-03 07:29:26,0.04,in,A
2025-06-03 05:43:30,2025-06-03 05:45:26,0.12,in,A
2025-06-03 02:58:02,2025-06-03 02:59:26,0.04,in,A
2025-06-03 02:13:20,2025-06-03 02:15:26,0.04,in,A
2025-06-03 01:48:30,2025-06-03 01:49:25,0.04,in,A
2025-06-03 01:40:34,2025-06-03 01:41:25,0.04,in,A
2025-06-03 01:24:00,2025-06-03 01:25:25,0.04,in,A
2025-06-03 01:15:16,2025-06-03 01:15:27,0.00,in,A
2025-06-03 01:11:57,2025-06-03 01:13:26,0.04,in,A
2025-06-03 00:56:40,2025-06-03 00:57:25,0.04,in,A
2025-06-03 00:50:16,2025-06-03 00:51:26,0.04,in,A
2025-06-03 00:37:56,2025-06-03 00:39:25,0.04,in,A
2025-06-03 00:30:37,2025-06-03 00:31:26,0.04,in,A
2025-06-03 00:23:53,2025-06-03 00:25:26,0.04,in,A
2025-06-03 00:20:58,2025-06-03 00:21:25,0.08,in,A
2025-06-03 00:11:05,2025-06-03 00:11:25,0.04,in,A
2025-06-03 00:04:55,2025-06-03 00:05:25,0.04,in,A
2025-06-02 23:58:31,2025-06-02 23:59:26,0.04,in,A
2025-06-02 13:15:16,2025-06-02 13:15:26,0.00,in,A
2025-06-02 01:15:16,2025-06-02 01:15:26,0.00,in,A
2025-06-01 13:15:16,2025-06-01 13:15:26,0.00,in,A
2025-06-01 01:15:16,2025-06-01 01:15:26,0.00,in,A
2025-05-31 13:15:16,2025-05-31 13:15:26,0.00,in,A
2025-05-31 01:15:16,2025-05-31 01:15:26,0.00,in,A
2025-05-30 13:15:16,2025-05-30 13:15:26,0.00,in,A
2025-05-30 01:15:16,2025-05-30 01:15:26,0.00,in,A
2025-05-29 13:15:17,2025-05-29 13:15:26,0.00,in,A
2025-05-29 01:57:59,2025-05-29 01:59:25,0.04,in,A
2025-05-29 01:37:54,2025-05-29 01:41:25,0.04,in,A
2025-05-29 01:15:16,2025-05-29 01:15:26,0.00,in,A
2025-05-28 22:58:43,2025-05-28 22:59:26,0.04,in,A
2025-05-28 22:44:57,2025-05-28 22:45:27,0.04,in,A
2025-05-28 22:29:55,2025-05-28 22:31:26,0.04,in,A
2025-05-28 22:16:52,2025-05-28 22:17:25,0.04,in,A
2025-05-28 19:14:04,2025-05-28 19:17:25,0.04,in,A
2025-05-28 13:15:16,2025-05-28 13:15:26,0.00,in,A
2025-05-28 01:15:16,2025-05-28 01:15:27,0.00,in,A
2025-05-27 15:39:13,2025-05-27 15:39:25,0.04,in,A
2025-05-27 13:15:16,2025-05-27 13:15:26,0.00,in,A
2025-05-27 01:15:17,2025-05-27 01:15:26,0.00,in,A
2025-05-26 14:28:24,2025-05-26 14:29:26,0.04,in,A
2025-05-26 14:16:05,2025-05-26 14:17:25,0.04,in,A
2025-05-26 13:15:16,2025-05-26 13:15:26,0.00,in,A
2025-05-26 01:15:16,2025-05-26 01:15:26,0.00,in,A
2025-05-26 00:47:05,2025-05-26 00:47:25,0.04,in,A
2025-05-26 00:36:01,2025-05-26 00:37:25,0.04,in,A
2025-05-26 00:09:35,2025-05-26 00:11:25,0.04,in,A
2025-05-26 00:03:02,2025-05-26 00:03:26,0.04,in,A
2025-05-25 23:57:38,2025-05-25 23:59:26,0.04,in,A
2025-05-25 23:51:55,2025-05-25 23:53:25,0.04,in,A
2025-05-25 23:43:44,2025-05-25 23:45:26,0.04,in,A
2025-05-25 23:38:35,2025-05-25 23:39:25,0.04,in,A
2025-05-25 23:30:23,2025-05-25 23:31:26,0.04,in,A
2025-05-25 23:12:05,2025-05-25 23:15:27,0.04,in,A
2025-05-25 17:03:56,2025-05-25 17:05:25,0.04,in,A
2025-05-25 16:30:26,2025-05-25 16:31:26,0.04,in,A
2025-05-25 16:28:28,2025-05-25 16:29:26,0.04,in,A
2025-05-25 16:26:55,2025-05-25 16:27:25,0.04,in,A
2025-05-25 16:20:45,2025-05-25 16:21:25,0.04,in,A
2025-05-25 16:18:56,2025-05-25 16:19:25,0.04,in,A
2025-05-25 16:17:09,2025-05-25 16:17:25,0.04,in,A
2025-05-25 16:15:55,2025-05-25 16:17:25,0.04,in,A
2025-05-25 16:13:42,2025-05-25 16:15:26,0.04,in,A
2025-05-25 16:12:39,2025-05-25 16:13:25,0.04,in,A
2025-05-25 16:06:23,2025-05-25 16:07:25,0.04,in,A
2025-05-25 16:03:27,2025-05-25 16:05:26,0.04,in,A
2025-05-25 15:10:12,2025-05-25 15:11:25,0.04,in,A
2025-05-25 14:50:37,2025-05-25 14:51:25,0.04,in,A
2025-05-25 14:32:49,2025-05-25 14:33:25,0.04,in,A
2025-05-25 14:31:30,2025-05-25 14:33:25,0.04,in,A
2025-05-25 14:26:53,2025-05-25 14:27:25,0.04,in,A
2025-05-25 13:15:16,2025-05-25 13:15:26,0.00,in,A
2025-05-25 01:17:50,2025-05-25 01:19:25,0.04,in,A
2025-05-25 01:15:16,2025-05-25 01:15:26,0.00,in,A
2025-05-24 22:27:49,2025-05-24 22:29:26,0.04,in,A
2025-05-24 20:38:16,2025-05-24 20:39:25,0.04,in,A
2025-05-24 19:31:19,2025-05-24 19:33:25,0.04,in,A
2025-05-24 19:10:13,2025-05-24 19:11:25,0.04,in,A
2025-05-24 19:03:19,2025-05-24 19:05:25,0.04,in,A
2025-05-24 19:00:29,2025-05-24 19:01:26,0.04,in,A
2025-05-24 17:49:11,2025-05-24 17:49:25,0.04,in,A
2025-05-24 13:15:17,2025-05-24 13:15:26,0.00,in,A
2025-05-24 01:15:16,2025-05-24 01:15:26,0.00,in,A
2025-05-23 13:15:16,2025-05-23 13:15:26,0.00,in,A
2025-05-23 01:15:16,2025-05-23 01:15:26,0.00,in,A
2025-05-22 13:15:16,2025-05-22 13:15:26,0.00,in,A
2025-05-22 01:15:17,2025-05-22 01:15:26,0.00,in,A
2025-05-21 13:13:16,2025-05-21 13:13:25,0.00,in,A
2025-05-21 01:13:16,2025-05-21 01:13:25,0.00,in,A
2025-05-20 13:13:16,2025-05-20 13:13:25,0.00,in,A
2025-05-20 01:13:17,2025-05-20 01:13:25,0.00,in,A
2025-05-19 13:13:16,2025-05-19 13:13:25,0.00,in,A
2025-05-19 01:13:16,2025-05-19 01:13:25,0.00,in,A
2025-05-18 13:13:16,2025-05-18 13:13:25,0.00,in,A
2025-05-18 01:13:16,2025-05-18 01:13:25,0.00,in,A
2025-05-17 13:13:17,2025-05-17 13:13:25,0.00,in,A
2025-05-17 01:13:16,2025-05-17 01:13:25,0.00,in,A
2025-05-16 13:13:16,2025-05-16 13:13:25,0.00,in,A
2025-05-16 01:13:16,2025-05-16 01:13:25,0.00,in,A
2025-05-15 13:13:16,2025-05-15 13:13:25,0.00,in,A
2025-05-15 01:13:16,2025-05-15 01:13:25,0.00,in,A
2025-05-14 13:13:16,2025-05-14 13:13:25,0.00,in,A
2025-05-14 01:13:16,2025-05-14 01:13:25,0.00,in,A
2025-05-13 13:13:16,2025-05-13 13:13:25,0.00,in,A
2025-05-13 01:13:17,2025-05-13 01:13:25,0.00,in,A
2025-05-12 13:13:16,2025-05-12 13:13:25,0.00,in,A
2025-05-11 01:13:16,2025-05-11 01:13:25,0.00,in,A
2025-05-09 13:13:16,2025-05-09 13:13:25,0.00,in,A
2025-05-09 01:13:16,2025-05-09 01:13:25,0.00,in,A
2025-05-08 13:13:16,2025-05-08 13:13:25,0.00,in,A
2025-05-08 01:13:17,2025-05-08 01:13:25,0.00,in,A
2025-05-07 13:13:16,2025-05-07 13:13:25,0.00,in,A
2025-05-07 07:04:12,2025-05-07 07:05:25,0.04,in,A
2025-05-07 04:44:39,2025-05-07 04:45:26,0.04,in,A
2025-05-07 01:13:16,2025-05-07 01:13:25,0.00,in,A
2025-05-07 00:31:16,2025-05-07 00:33:25,0.04,in,A
2025-05-06 20:07:06,2025-05-06 20:07:25,0.04,in,A
2025-05-06 18:22:36,2025-05-06 18:23:25,0.04,in,A
2025-05-06 16:26:31,2025-05-06 16:27:25,0.04,in,A
2025-05-06 15:52:43,2025-05-06 15:53:25,0.04,in,A
2025-05-06 15:28:33,2025-05-06 15:29:25,0.04,in,A
2025-05-06 15:19:11,2025-05-06 15:19:25,0.04,in,A
2025-05-06 14:57:59,2025-05-06 14:59:25,0.08,in,A
2025-05-06 14:28:43,2025-05-06 14:29:25,0.04,in,A
2025-05-06 14:03:52,2025-05-06 14:05:25,0.04,in,A
2025-05-06 13:41:30,2025-05-06 13:43:25,0.04,in,A
2025-05-06 13:32:29,2025-05-06 13:33:25,0.04,in,A
2025-05-06 13:13:16,2025-05-06 13:13:25,0.00,in,A
2025-05-06 12:55:07,2025-05-06 12:55:25,0.04,in,A
2025-05-06 12:24:36,2025-05-06 12:25:25,0.04,in,A
2025-05-06 10:46:14,2025-05-06 10:47:26,0.04,in,A
2025-05-06 10:08:05,2025-05-06 10:09:26,0.04,in,A
2025-05-06 09:49:08,2025-05-06 09:49:25,0.04,in,A
2025-05-06 09:00:52,2025-05-06 09:01:26,0.04,in,A
2025-05-06 01:13:16,2025-05-06 01:13:25,0.00,in,A
2025-05-05 13:13:16,2025-05-05 13:13:25,0.00,in,A
2025-05-05 01:13:16,2025-05-05 01:13:25,0.00,in,A
2025-05-04 13:13:16,2025-05-04 13:13:25,0.00,in,A
2025-05-04 01:13:17,2025-05-04 01:13:25,0.00,in,A
2025-05-03 13:13:16,2025-05-03 13:13:25,0.00,in,A
2025-05-03 01:13:16,2025-05-03 01:13:25,0.00,in,A
2025-05-02 13:13:16,2025-05-02 13:13:25,0.00,in,A
2025-05-02 01:13:17,2025-05-02 01:13:25,0.00,in,A
2025-05-01 22:22:18,2025-05-01 22:23:25,0.04,in,A
2025-05-01 21:56:30,2025-05-01 21:57:25,0.04,in,A
2025-05-01 21:38:36,2025-05-01 21:39:25,0.04,in,A
2025-05-01 21:29:07,2025-05-01 21:29:25,0.04,in,A
2025-05-01 13:13:16,2025-05-01 13:13:25,0.00,in,A
2025-05-01 03:57:38,2025-05-01 03:59:25,0.04,in,A
2025-05-01 02:41:04,2025-05-01 02:41:25,0.04,in,A
2025-05-01 01:13:16,2025-05-01 01:13:25,0.00,in,A
2025-05-01 00:09:49,2025-05-01 00:11:25,0.04,in,A
2025-04-30 23:54:29,2025-04-30 23:55:25,0.04,in,A
2025-04-30 23:19:25,2025-04-30 23:21:26,0.04,in,A
2025-04-30 23:09:44,2025-04-30 23:11:25,0.04,in,A
2025-04-30 22:37:22,2025-04-30 22:39:25,0.04,in,A
2025-04-30 21:08:42,2025-04-30 21:09:25,0.04,in,A
2025-04-30 20:37:25,2025-04-30 20:39:25,0.04,in,A
2025-04-30 20:34:46,2025-04-30 20:35:25,0.04,in,A
2025-04-30 13:13:16,2025-04-30 13:13:25,0.00,in,A
2025-04-30 01:13:17,2025-04-30 01:13:25,0.00,in,A
2025-04-29 13:13:17,2025-04-29 13:13:25,0.00,in,A
2025-04-29 01:13:16,2025-04-29 01:13:25,0.00,in,A
2025-04-28 13:13:16,2025-04-28 13:13:25,0.00,in,A
2025-04-28 01:13:16,2025-04-28 01:13:25,0.00,in,A
2025-04-27 13:13:17,2025-04-27 13:13:25,0.00,in,A
2025-04-27 01:13:16,2025-04-27 01:13:25,0.00,in,A
2025-04-26 13:13:16,2025-04-26 13:13:25,0.00,in,A
2025-04-26 01:13:16,2025-04-26 01:13:25,0.00,in,A
2025-04-25 13:13:17,2025-04-25 13:13:25,0.00,in,A
2025-04-25 01:13:16,2025-04-25 01:13:25,0.00,in,A
2025-04-25 00:52:39,2025-04-25 00:53:25,0.04,in,A
2025-04-24 13:13:16,2025-04-24 13:13:25,0.00,in,A
2025-04-24 01:13:16,2025-04-24 01:13:25,0.00,in,A
2025-04-23 13:13:16,2025-04-23 13:13:25,0.00,in,A
2025-04-23 01:13:17,2025-04-23 01:13:25,0.00,in,A
2025-04-22 13:13:16,2025-04-22 13:13:25,0.00,in,A
2025-04-22 01:13:16,2025-04-22 01:13:25,0.00,in,A
2025-04-21 13:13:16,2025-04-21 13:13:25,0.00,in,A
2025-04-21 01:13:17,2025-04-21 01:13:25,0.00,in,A
2025-04-20 13:13:17,2025-04-20 13:13:25,0.00,in,A
2025-04-20 01:13:16,2025-04-20 01:13:25,0.00,in,A
2025-04-19 13:13:16,2025-04-19 13:13:25,0.00,in,A
2025-04-19 11:24:09,2025-04-19 11:25:25,0.04,in,A
2025-04-19 11:06:44,2025-04-19 11:07:25,0.04,in,A
